slug,display_name,status,source_url,retrieved_utc,file_rel_path,license_note,notes
k-j-ramsey,K.J. Ramsey,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
alison-cook,Alison Cook,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
michael-john-cusick,Michael John Cusick,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
alan-gem-fadling,Alan & Gem Fadling,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
lisa-sharon-harper,Lisa Sharon Harper,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
brenda-salter-mcneil,Brenda Salter McNeil,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dominique-dubois-gilliard,Dominique DuBois Gilliard,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mark-charles,Mark Charles,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
alexia-salvatierra,Alexia Salvatierra,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
matthew-soerens,Matthew Soerens,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
latasha-morrison,Latasha Morrison,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
adam-gustine,Adam Gustine,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
drew-g-i-hart,Drew G.I. Hart,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
robert-lupton,Robert Lupton,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
efrem-smith,Efrem Smith,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
leroy-barber,Leroy Barber,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mae-elise-cannon,Mae Elise Cannon,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
troy-jackson,Troy Jackson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jemar-tisby,Jemar Tisby,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
osheta-moore,Osheta Moore,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
randy-woodley,Randy Woodley,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
karen-gonzalez,Karen Gonzalez,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
glenn-packiam,Glenn Packiam,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
constance-cherry,Constance Cherry,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
john-d-witvliet,John D. Witvliet,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
lester-ruth,Lester Ruth,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
willie-james-jennings,Willie James Jennings,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
esau-mccaulley,Esau McCaulley,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
c-christopher-smith,C. Christopher Smith,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
michael-gorman,Michael Gorman,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dwight-zscheile,Dwight Zscheile,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
amos-yong,Amos Yong,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
luke-bretherton,Luke Bretherton,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
tom-nelson,Tom Nelson,not-found,,,,,no usable enwiki page with thumbnail in top search results (or disambiguation only)
dave-blanchard,Dave Blanchard,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mats-tunehag,Mats Tunehag,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
michaela-o-donnell,Michaela O'Donnell,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
